어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
홍익어린이집,경기도,가평군,민간,98,17,경기도 가평군 가평읍 석봉로153번길 16,031-581-2662,031-581-2662,98,17,13,Y,http://www.childcare.go.kr/,2021-06-28
에코비어린이집,경기도,가평군,민간,34,7,경기도 가평군 조종면 청군로 1300 에코비어린이집,031-585-4834,031-585-4834,34,7,5,Y,http://www.childcare.go.kr/,2021-06-28
꿈에그린어린이집,경기도,가평군,직장,30,7,경기도 가평군 조종면 청군로 1149 꿈에그린어린이집,031-585-1002,031-585-1002,30,7,10,N,http://www.childcare.go.kr/,2021-06-28
맹호어린이집,경기도,가평군,직장,73,10,경기도 가평군 조종면 청군로 1208 맹호어린이집,031-585-1133,031-585-1133,73,10,8,N,http://www.childcare.go.kr/,2021-06-28
에코비해솔어린이집,경기도,가평군,가정,20,6,경기도 가평군 가화로 223 파란채아파트  103-105,031-581-1137,031-581-1137,20,6,4,Y,http://www.childcare.go.kr/,2021-06-28
햇살나무어린이집,경기도,가평군,가정,20,6,경기도 가평군 가평읍 문화로 63 선힐아파트102동102호,031-585-3791,031-585-3791,20,6,4,Y,http://www.childcare.go.kr/,2021-06-28
금빛어린이집,경기도,가평군,민간,39,6,경기도 가평군 가평읍 강산길 25,031-582-1678,031-582-1678,39,6,4,Y,http://www.childcare.go.kr/,2021-06-28
사무엘어린이집,경기도,가평군,민간,97,13,경기도 가평군 가평읍 석봉로191번길 52,031-582-6623,031-582-6623,97,13,12,Y,http://www.childcare.go.kr/,2021-06-28
아이사랑아트스쿨어린이집,경기도,가평군,민간,89,13,경기도 가평군 시장중앙로 7  -20,031-585-6968,031-585-6968,89,13,8,Y,http://www.childcare.go.kr/,2021-06-28
북면어린이집,경기도,가평군,국공립,56,9,경기도 가평군 북면 석장모루길 10,031-582-8357,031-582-8357,56,9,7,Y,http://www.childcare.go.kr/,2021-06-28
해맑은어린이집,경기도,가평군,민간,28,6,경기도 가평군 강변나루로 54 청평삼성쉐르빌 관리동,031-584-0661,031-584-0661,28,6,4,N,http://www.childcare.go.kr/,2021-06-28
환두레어린이집,경기도,가평군,민간,80,12,경기도 가평군 가평읍 석봉로3번길 68-15,031-582-8605,031-582-8605,80,12,11,Y,http://www.childcare.go.kr/,2021-06-28
청평어린이집,경기도,가평군,법인·단체,50,6,경기도 가평군 청평면 잠곡로 59,031-584-0237,031-584-0237,50,6,8,Y,http://www.childcare.go.kr/,2021-06-28
예원어린이집,경기도,가평군,민간,110,16,경기도 가평군 가평읍 가화로 202,031-581-7292,031-581-7292,138,16,16,Y,http://www.childcare.go.kr/,2021-06-28
청심어린이집,경기도,가평군,민간,34,6,경기도 가평군 설악면 미사리로286번길 16 청심어린이집,031-589-9900,031-589-9900,34,6,14,Y,http://www.childcare.go.kr/,2021-06-28
통큰에듀파크어린이집,경기도,가평군,민간,135,15,경기도 가평군 청평면 구청평로 58,031-585-8745,031-585-8745,135,15,16,Y,http://www.childcare.go.kr/,2021-06-28
해든나라어린이집,경기도,가평군,민간,27,6,경기도 가평군 가평읍 석봉로119번길 23-11,031-582-5795,031-582-5795,27,6,5,Y,http://www.childcare.go.kr/,2021-06-28
사랑의동산어린이집,경기도,가평군,법인·단체,50,8,경기도 가평군 청평면 청평중앙로 39-1 사랑의동산어린이집,031-584-6057,031-584-6057,50,8,12,Y,http://www.childcare.go.kr/,2021-06-28
꼬마별어린이집,경기도,가평군,가정,20,5,"경기도 가평군 가평읍 가화로 223 101동 106호(읍내리, 에이원파란채)",031-585-0037,031-585-0037,20,5,4,Y,http://www.childcare.go.kr/,2021-06-28
동화마을어린이집,경기도,가평군,가정,20,6,경기도 가평군 설악면 신천중앙로120번길 20-45 에코빌 B동 102호,031-584-2511,031-584-2511,20,6,4,Y,http://www.childcare.go.kr/,2021-06-28
리틀동화마을어린이집,경기도,가평군,가정,20,6,경기도 가평군 설악면 신천중앙로120번길 20-39 에코빌 나동 102호,031-584-2513,031-584-2513,20,6,4,Y,http://www.childcare.go.kr/,2021-06-28
별담은어린이집,경기도,가평군,가정,19,4,경기도 가평군 가평읍 문화로 63  선힐하이뷰 102동 103호,031-585-0677,031-585-0677,19,4,4,Y,http://www.childcare.go.kr/,2021-06-28
가평어린이집,경기도,가평군,국공립,72,12,경기도 가평군 가평읍 가화로 163 경기도 가평군 가평읍 가화로163,031-582-3069,031-582-3069,72,12,8,N,http://www.childcare.go.kr/,2021-06-28
청평새나래어린이집,경기도,가평군,국공립,49,7,경기도 가평군 청평면 갈오현로 21 새나래어린이집,031-584-5844,031-584-5844,49,7,10,N,http://www.childcare.go.kr/,2021-06-28
엔젤어린이집,경기도,가평군,민간,39,8,경기도 가평군 조종면 연인산로 19-1,031-585-9170,031-585-9170,39,8,6,Y,http://www.childcare.go.kr/,2021-06-28
세종대왕어린이집,경기도,가평군,민간,80,8,경기도 가평군 조종면 조종새싹로 64,031-585-3420,031-585-3420,80,8,10,Y,http://www.childcare.go.kr/,2021-06-28
쁘띠베베어린이집,경기도,가평군,가정,18,7,경기도 가평군 조종면 청군로 1319 쁘띠베베어린이집,031-584-1529,031-584-1529,18,7,4,Y,http://www.childcare.go.kr/,2021-06-28
생명의빛어린이집,경기도,가평군,가정,20,3,경기도 가평군 상면 기와집길 4 생명의빛어린이집,031-585-6624,031-585-6624,20,3,4,Y,http://www.childcare.go.kr/,2021-06-28
앙쥬어린이집,경기도,가평군,가정,19,4,경기도 가평군 청평면 강변나루로 54 쉐르빌아파트 103동 101호,031-584-3955,031-584-3955,19,4,4,Y,http://www.childcare.go.kr/,2021-06-28
청구어린이집,경기도,가평군,가정,19,4,경기도 가평군 청평면 경춘로 819-21 청구아파트 101동 103호,031-584-0523,031-584-0523,19,4,4,N,http://www.childcare.go.kr/,2021-06-28
설악어린이집,경기도,가평군,국공립,59,7,경기도 가평군 설악면 한서로 18-16 설악어린이집,031-584-5687,031-584-5687,59,7,7,Y,http://www.childcare.go.kr/,2021-06-28
조종어린이집,경기도,가평군,국공립,59,8,경기도 가평군 조종면 조종희망로26번길 25 조종어린이집,031-585-1105,031-585-1105,59,8,8,Y,http://www.childcare.go.kr/,2021-06-28
ABC어린이집,경기도,가평군,가정,20,5,경기도 가평군 조종면 조종희망로 67,031-585-0547,031-585-0547,23,5,4,Y,http://www.childcare.go.kr/,2021-06-28
두손어린이집,경기도,가평군,민간,78,9,경기도 가평군 가평읍 정간내로19번길 22,031-582-6336,031-582-6336,78,9,8,Y,http://www.childcare.go.kr/,2021-06-28
또래아이사랑어린이집,경기도,가평군,민간,91,13,경기도 가평군 조종면 조종새싹로 49,031-585-0373,031-585-0373,91,13,15,Y,http://www.childcare.go.kr/,2021-06-28
보람어린이집,경기도,가평군,사회복지법인,74,10,경기도 가평군 상면 청군로 961-41,031-585-6543,031-585-6543,74,10,13,Y,http://www.childcare.go.kr/,2021-06-28
가좌국제어린이집,경기도,고양시일산서구,민간,91,13,경기도 고양시 일산서구 송포로 207 가좌마을 7단지내 (가좌동),031-919-0785,,6,3,8,Y,,2019-04-23
가좌블루밍아이 어린이집,경기도,고양시일산서구,민간,27,3,경기도 고양시 일산서구 가좌2로 53 3단지 내 관리동 1층,031-925-3318,031-922-3328,3,0,0,N,https://blog.naver.com/bloomingdkdl,2019-04-23
감사24시어린이집,경기도,고양시일산서구,가정,16,3,경기도 고양시 일산서구 덕산로312번길 44 101호,031-916-9916,031-906-9916,1,0,0,N,************@hanmail.net,2019-04-23
감성놀이위지니어린이집,경기도,고양시일산서구,가정,19,4,"경기도 고양시 일산서구 탄중로 523 201동 101호(일산동, 에이스11차아파트)",031-916-9995,031-916-9995,4,0,0,Y,,2019-04-23
네버랜드어린이집,경기도,고양시일산서구,가정,20,4,"경기도 고양시 일산서구 탄현로 133 103동 105호(탄현동, 일산임광진흥아파트)",031-919-3339,,1,0,0,Y,,2019-04-23
네오어린이집,경기도,고양시덕양구,가정,20,6,"경기도 고양시 덕양구 호국로 860 220동 101호(성사동, 래미안휴레스트아파트)",031-966-5633,031-966-5633,4,0,0,N,http://cafe.naver.com/neokids1,2019-04-23
노래하는어린이집,경기도,고양시일산서구,가정,16,4,"경기도 고양시 일산서구 탄현로 133 102동 103호(탄현동, 일산임광진흥아파트)",031-812-6843,031-812-6843,3,0,0,N,,2019-04-23
노리아어린이집,경기도,고양시덕양구,가정,19,4,"경기도 고양시 덕양구 화신로 309 902동 103호(화정동, 별빛마을벽산9단지아파트)",031-938-5565,031-938-5565,4,0,0,N,,2019-04-23
노리터어린이집,경기도,고양시일산서구,가정,19,5,"경기도 고양시 일산서구 강선로 71 708동 102호(주엽동, 강선마을삼환7단지아파트)",031-912-5923,031-912-5923,4,0,0,N,cafe.naver.com/babysun012,2019-04-23
