뉴스 식별자,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,특성추출(가중치순 상위 50개),본문,URL,분석제외 여부
01500701.20210720162733001,20210720,부산일보,김진성,"거제시, 어린이집 CCTV 관리?운영 및 아동안전실태 점검 실시",지역>울산, 지역>충남, 지역>대구,사회>사회문제>학대,,,,거제시,어린이집,"거제시,관리?운영,어린이집,CCTV,관리,운영,아동안전,실태,점검,거제시,시장,변광용,언론,보도,사건,어린이집,아동,학대,원인분석,해결,이달,다음달,어린이집,대상,CCTV,관리,운영,아동안전,실태,현장,점검,점검,CCTV,설치,운영,규정,준수,여부,아동,학대,징후,발생유무,확인,전반적,영유아들,안전성,확보,계획,점검기간,점검표,토대,자체점검,CCTV,설치,운영,책임관,어린이집,원장,저장,영상정보,열람,아동들,안전,확인,점검반,구성,10%,어린이집,유형,10%,표본,선정,현장점검,예정,점검결과,CCTV,운영,실태,사항,현장,즉시,시정,지도,학대행위,확인,법령,조치,관계자,어린이집,아동안전,실태,정밀,점검,발생,아동,학대,사례,차단,CCTV,관리,어린이집,운영자,책임성,강화,부모들,보육,환경,조성,최선","어린이집,cctv,현장점검,아동안전,다음달,거제시,관리?운영,부모들,영상정보,영유아들,점검표,영유아,변광용,책임성,자체점검,안전성,원인분석,학대행위,아동들,운영자,점검기간,관계자,점검결과,발생유무,점검반,책임관","거제시(시장 변광용)는 최근 언론에 연이어 보도되고 있는 어린이집 아동학대 사건의 면밀한 원인분석과 해결방안 모색을 위해 이달 20일부터 다음달 31일까지 전체 어린이집을 대상으로 ‘CCTV 관리?운영 및 아동안전실태 현장점검’을 실시한다. 
 
 시는 이번 점검을 통해 CCTV 설치?운영 관련 규정 준수 여부와 아동학대 징후 및 발생유무 등을 확인해 ..",http://www.busan.com/view/busan/view.php?code=2021072016132997701,
08100401.20210502102603001,20210502,YTN,손효정,아동학대 수사 시 보호자에 어린이집 CCTV 열람 허용,사회>사건_사고, IT_과학>IT_과학일반, 사회>교육_시험,사회>사회문제>학대,,,,,"청구,경찰청,국가수사본부","아동학대,수사,보호자,어린이집,CCTV,열람,허용,경찰,어린이집,아동,학대,사건,수사,아동,보호자,어린이집,동의,모자이크,처리,CCTV,열람,경찰청,국가,수사본부,지난달,아동학대,보호자,피해,아동,절차,CCTV,열람,개선,시행,기소,보호자,열람,CCTV,영상,복제,불가능,어린이집,폐업,열람,거부,보호자,열람,허용,방침,보호자,CCTV,열람,영상,정보,공개,청구,정보,공개,절차,진행,예정,보호자,영상,어린이집,CCTV,열람,요청,사생활,침해,모자이크,처리,영상,열람,비용,모자이크,처리,보호자,한계","보호자,어린이집,cctv,아동학대,경찰청,수사본부,사생활,불가능,열람,공개,영상,아동,절차,사건,모자이크,처리,수사,기소,청구,허용,정보,학대,피해,국가,침해,시행,요청","앞으로 경찰이 어린이집에서 일어난 아동학대 사건을 수사할 때 피해 아동 보호자도 어린이집 동의나 모자이크 처리 없이 CCTV를 열람할 수 있습니다.

경찰청 국가수사본부는 지난달 26일부터 아동학대를 줄이고자 피해 아동 보호자의 CCTV 열람 절차를 개선해 이 같은 내용을 시행하고 있다고 밝혔습니다.

다만, 기소 전 형사사건 공개 금지 원칙에 따라 보..",https://www.ytn.co.kr/_ln/0103_202105021024510448,
02100311.20210502104503001,20210502,서울경제,박홍용 기자,"아동학대 수사시 보호자, 어린이집 CCTV 모자이크 없이 확인 가능",사회>교육_시험, IT_과학>IT_과학일반,,사회>사회문제>학대,,,,일기도,"경찰청,국가수사본부,청구,아동학","보호자,아동,학대,수사시,모자이크,어린이집,CCTV,확인,가능,경찰청,CCTV,열람,절차,개선,경찰,어린이집,아동,학대,사건,수사,보호자,피해,아동,어린이집,동의,모자이크,처리,폐쇄회로,CC,TV,열람,경찰청,국가,수사본부,아동학대,아동,보호자,절차,CCTV,열람,개선,지난달,시행,2일,영상,어린이집,CCTV,아동학대,상황,신속,정확,확인,수단,사생활,침해,모자이크,처리,영상,열람,허용,한계,보호자,비용,모자이크,처리,전가,분쟁,개정,절차,어린이집,폐업,열람,거부,보호자,열람,허용,보호자,CCTV,열람,영상,정보,공개,청구,정보,공개,절차,기소,형사,사건,공개,원칙,보호자,열람,CCTV,영상,복제,가능","보호자,어린이집,아동학대,cctv,경찰청,수사시,폐쇄회로,사생활,수사본부,tv,cc,열람,절차,공개,모자이크,영상,사건,아동,처리,개선,확인,청구,학대,원칙,가능,정보,허용","앞으로 경찰이 어린이집에서 일어난 아동학대 사건을 수사할 때 피해아동 보호자도 어린이집의 동의나 모자이크 처리 없이 폐쇄회로CCTV를 열람할 수 있다. 
 

 경찰청 국가수사본부는 아동학대를 줄이고자 이 같은 내용으로 피해아동 보호자의 CCTV 열람 절차를 개선해 지난달 26일부터 시행하고 있다고 2일 밝혔다. 
 

 어린이집 CCTV 영상은 아..",http://www.sedaily.com/NewsView/22M7CTF0CP,
01400501.20210502155446001,20210502,중부일보,김형욱,'어린이집 학대 사건' 모자이크 처리 없이 피해아동 보호자 CCTV 열람한다,사회>사건_사고, 사회>교육_시험,,사회>사회문제>학대,,,,일기도,"경찰청,국가수사본부,경찰,청구","사건,어린이집,학대,모자이크,처리,아동,보호자,CCTV,열람,경찰,어린이집,아동,학대,사건,수사,보호자,피해,아동,어린이집,동의,모자이크,처리,폐쇄회로,CC,TV,열람,경찰청,국가,수사본부,아동학대,피해,아동,보호자,절차,CCTV,열람,개선,지난달,시행,2일,기소,보호자,CCTV,영상,복제,불가능,어린이집,폐업,열람,거부,보호자,열람,허용,보호자,CCTV,열람,영상,정보공개,청구,정보,공개,절차,영상,어린이집,CCTV,아동학대,포함,각종,사고,사건,상황,신속,정확,확인,수단,사생활,침해,모자이크,처리,영상,열람,허용,한계,보호자,비용,모자이크,처리,전가,분쟁","보호자,어린이집,아동학대,cctv,경찰청,사생활,폐쇄회로,수사본부,불가능,정보공개,tv,cc,열람,사건,아동,공개,영상,처리,모자이크,절차,학대,기소,정보,허용,회로,확인,수단,정확,폐쇄,신속","경찰이 어린이집에서 일어난 아동학대 사건을 수사할 때 피해아동 보호자도 어린이집의 동의나 모자이크 처리 없이 폐쇄회로CCTV를 열람할 수 있게 됐다. 

경찰청 국가수사본부는 아동학대를 줄이기 위해 이 같은 내용이 담긴 피해아동 보호자의 CCTV 열람 절차를 개선해 지난달 26일부터 시행하고 있다고 2일 밝혔다. 

다만, 기소 전 형사사건 공개 금..",www.joongboo.com/news/articleView.html?idxno=363484216,
01400601.20210503172614001,20210503,충청일보,배명식 기자,"경찰청, 어린이집 아동학대 수사시 CCTV 열람 절차 개선",사회>사건_사고, 사회>교육_시험,,사회>사회문제>학대,,,,일기도,"보건복지부,경찰청,국가수사본부,아동학대,경찰,개인정보보호위원회","경찰청,개선,어린이집,아동,학대,수사시,CCTV,열람,절차,보호자,수사,목적,비식별,처리,비용,수사,보호자,열람,가능,어린이집,아동,학대,수사,모자이크,처리,비용부담,폐쇄회로,CC,TV,열람,국가수사본부,경찰청,국가,수사본부,어린이집,아동,학대,수사시,경찰,압수,CCTV,자료,피해,아동,보호자,열람,절차,마련,적용,개인정보보호위원회,보건복지부,아동학대,연계,개인정보보호위원회,행정안전부,법률전문가,의견수렴,마련,개인정보보호위원회,개정,아동학대,의심,어린이집,CCTV,영상,원본,열람,가능,외부,반출,영유아,교직원,모자이크,처리,보호조치,경찰,압수,영상,어린이집,CCTV,범위,수사,목적,활용,원칙,지침,마련,설명,지침,경찰,압수,CCTV,자료,피해,아동,피해사실,특정,수사,목적,아동,보호자,모자이크,관련자,동의,열람,기소,형사,사건,공개,원칙,영상,복제,제공,불가,타인,사생활,침해,열람,CCTV,원본,제한,아동,보호자,사건,현장,확인,한계,어린이집,보호자,비용,모자이크,처리,부담,논란,지침,한계점,보완,아동,보호자,아동,안전,피해,확인,CCTV,열람,보육시설,보육,시설,열람,어린이집,열람,불가,특별,사정,보호자,피해,아동,치료,양육,피해회복,범위,열람,허용","어린이집,cctv,보호자,아동학대,개인정보보호위원회,위원회,경찰청,수사시,보육시설,전문가,의견수렴,법률전문가,폐쇄회로,영유아,사생활,행정안전부,보건복지부","보호자는 수사 목적 내에서 비식별화 처리 비용없이 열람 가능 어린이집 아동학대 수사 시 보호자가 모자이크 처리나 비용부담 없이 폐쇄회로CCTV를 열람할 수 있게 됐다. 

3일 경찰청 국가수사본부에 따르면 어린이집 아동학대 수사시 경찰이 압수한 CCTV 자료의 피해아동 보호자 열람 절차를 새롭게 마련해 지난 4월 26일부터 적용했다. 

이는 개인정..",http://www.ccdailynews.com/news/articleView.html?idxno=2054793,
02100201.20210502092056001,20210502,머니투데이,김주현|기자,"아동학대 피해 보호자, 모자이크 없이 '어린이집 CCTV' 볼 수 있다",사회>사건_사고, 사회>교육_시험,,사회>사회문제>학대,,,,,"보건복지부,경찰청,국가수사본부,경찰,청구,개인정보보호위원회","보호자,아동학대,피해,모자이크,어린이집,CCTV,사건,어린이집,아동,학대,피해,아동,보호자,어린이집,CCTV,폐쇄회로TV,자료,경찰,수사,관련자,동의,열람,경찰청,국가,수사본부,피해,아동,보호자,열람,절차,마련,지난달,적용,2일,개인정보보호위원회,보건복지부,어린이집,자녀,보호자,원본,CCTV,영상,열람,개정,연계,마련,사생활,침해,보호자,열람,CCTV,원본,제한,어린이집,보호자,비용,모자이크,처리,부담,개정,아동학대,의심,보호자,아동,피해,확인,보육,열람,CCTV,영상,원본,경찰,압수,어린이집,CCTV,비식별화,모자이크,처리,관련자,동의,기소,영상,복제,제공,불가능,어린이집,폐업,영상,삭제,열람,거부,열람,불가능,범위,열람,허용,보호자,수사과정,영상,열람,정보,공개,청구,영상,요청,절차,정보,공개,결정,경찰,관계자,아동,학대,수사,피해,사실,신속,정확,확인,아동,보호,최선","어린이집,보호자,아동학대,cctv,불가능,경찰청,관련자,개인정보보호위원회,보건복지부,비식,위원회,사생활,수사본부,비식별화,별화,관계자,수사과정","[머니투데이 김주현 기자] 
어린이집 아동학대 사건에서 피해아동 보호자가 어린이집 CCTV(폐쇄회로TV) 등 경찰 수사 자료를 관련자 동의없이 열람할 수 있게 됐다. 
경찰청 국가수사본부는 새로운 피해아동 보호자 열람 절차를 마련해 지난달 26일부터 적용했다고 2일 밝혔다. 이는 개인정보보호위원회와 보건복지부에서 어린이집에 자녀를 맡긴 보호자에게 CCT..",http://news.moneytoday.co.kr/view/mtview.php?no=2021050208583211796&type=2,
01500301.20210721002421006,20210721,경상일보,이춘봉,"울산시, 어린이집 아동학대 예방사업 적극 추진",지역>충북, 지역>충남, 지역>강원,사회>사회문제>학대,,,박용락,울산시,"육아종합지원센터,울산시,구ㆍ군","울산시,추진,어린이집,아동,학대,예방,사업,적극,울산시,건전,보육,환경,조성,상반기,어린이집,아동,학대,예방,사업,추진,20일,1049명,관내,어린이집,보육,교직원,대상,임용,인성검사,임용,인성,검사,어린이집,아동,학대,행정,처분,취업제한,강화,처벌,기준,신설,아동학대,피해자,치료,목적,CCTV,제공,근거,보육교사,법령,제도,개선,중앙,건의,강화,보육,교직원,아동,학대,예방,교육,2곳,아동,보호,전문,기관,114회,보육,교직원,대상,중심,사례,교육,진행,6월,730여,어린이집,원장,대상,아동,학대,인식,개선,교육,진행,육아종합지원센터,어린이집,부모,부모,신뢰,회복,16개,영상,우수,교육,발굴,어린이집,부모,제공,150여,아동,보호자,인공,지능,아동,정서,서비스,제공,박용락,복지,여성,국장,주재,보육,육아종합지원센터,아동,보호,전문,기관,참석,어린이집,아동,학대,예방,대책,회의,개최,교육,보육,공무원,역량,강화,보육교사,대상,내실,어린이집,아동,학대,예방,교육,지속적,추진,예정","어린이집,아동학대,박용락,육아종합지원센터,보육교사,공무원,울산시,상반기,2곳,교직원,취업제한","울산시가 건전한 보육환경 조성을 위해 올해 상반기 동안 다양한 어린이집 아동학대 예방 사업을 추진했다고 20일 밝혔다. 

시는 관내 어린이집 249곳 보육교직원 1049명을 대상으로 임용 시 인성검사를 실시했다. 또 어린이집 아동학대 관련 행정처분ㆍ취업제한 처벌 기준 강화, 아동학대 피해자 치료 목적 CCTV 제공 관련 근거 신설, 보육교사 대 아동 ..",www.ksilbo.co.kr/news/articleView.html?idxno=907627,
01100101.20210502094645001,20210502,경향신문,구교형 기자 wassup01@kyunghyang.com,"경찰, 학대 피해아동 보호자에 어린이집 CCTV 열람 허용",사회>사건_사고, 사회>교육_시험,,사회>사회문제>학대,,,,,"보건복지부,아동학대,경찰,청구,개인정보보호위원회,경찰청,국가수사본부","경찰,보호자,학대,피해,아동,어린이집,CCTV,열람,허용,경찰,어린이집,아동,학대,사건,수사,피해,보호자,어린이집,동의,모자이크,처리,폐쇄회로,CC,TV,열람,경찰청,국가,수사본부,어린이집,아동,학대,수사,경찰,압수,CCTV,자료,피해,아동,보호자,열람,절차,개편,지난달,시행,2일,어린이집,폐업,열람,거부,보호자,열람,허용,보호자,CCTV,열람,영상,정보,공개,청구,정보,공개,절차,그간,어린이집,CCTV,영상,각종,사고,사건,상황,신속,정확,확인,수단,사생활,침해,모자이크,처리,영상,열람,허용,한계,기소,원칙,보호자,열람,CCTV,영상,복제,불가능,개인정보보호위원회,보건복지부,어린이집,자녀,보호자,원본,CCTV,영상,열람,개정,경찰,관계자,피해사실,아동,학대,수사시,피해,사실,신속,정확,확인,피해,아동,보호,최선","어린이집,보호자,cctv,수사시,경찰청,그간,피해사실,사생활,개인정보보호위원회,불가능,보건복지부,폐쇄회로,위원회,수사본부,관계자,tv,cc,열람,영상,사건","앞으로 경찰이 어린이집에서 일어난 아동학대 사건을 수사할 때 피해아동의 보호자도 어린이집 동의나 모자이크 처리 없이 폐쇄회로CCTV를 열람할 수 있다.

경찰청 국가수사본부는 어린이집 아동학대 수사시 경찰이 압수한 CCTV 자료의 피해아동 보호자 열람 절차를 개편해 지난달 26일부터 시행 중이라고 2일 밝혔다.

이에 따라 어린이집이 폐업했거나 열람..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202105020946001&code=940100,
02100851.20210502112305001,20210502,아주경제,조현미,"아동학대 어린이집 CCTV, 내부 동의 모자이크 없이 본다",사회>사회일반, IT_과학>보안,,사회>사회문제>학대,,,,서울 지역,"어린이집,경찰청,국가수사본부,CCTV,청구","CCTV,아동,학대,어린이집,내부,동의,모자이크,서울,지역,어린이집,전경,사진,기사,어린이집,학대,발생,아동,보호자,어린이집,동의,모자이크,처리,어린이집,폐쇄,회로,CC,TV,국가수사본부,경찰청,국가,수사본부,개선,피해,아동,보호자,절차,CCTV,열람,지난달,시행,CCTV,아동학대,어린이집,발생,각종,사고,사건,상황,신속,정확,확인,얼굴,침해,사생활,모자이크,처리,영상,제공,보호자,CCTV,영상,복제,허용,기소,어린이집,열람,거부,보호자,열람,허용,CCTV,보호자,영상,정보,공개,청구,정보,공개,절차","어린이집,보호자,cctv,경찰청,사생활,아동학대,수사본부,국가수사본부,서울,tv,cc,공개,영상,열람,아동,절차,사건,모자이크,기소,청구,발생,허용,동의,정보,처리,학대,회로,확인","서울 지역 한 어린이집 전경. 사진은 기사와 관계없음. [아주경제 DB] 
 
 
어린이집에서 학대가 발생하면 피해아동 보호자가 어린이집 동의나 모자이크 처리 없이 어린이집 폐쇄회로CCTV를 볼 수 있다. 
 
2일 경찰청 국가수사본부에 따르면 이런 내용으로 개선한 피해아동 보호자의 CCTV 열람 절차가 지난달 26일부터 시행 중이다. 
 
CCTV..",http://www.ajunews.com/view/20210502104627239,
01100901.20210523190406001,20210523,중앙일보,편광현(pyun.gwanghyun@joongang.co.kr),CCTV 있어도 뺨 '철썩' 어린이집 교사들 이성 잃는 이유,사회>사건_사고, 사회>교육_시험, 사회>노동_복지,사회>사회문제>학대,,,"이명숙,정익중,곽문혁","은평,서울,제주도,은평구,아동학대전담팀","한국민간어린이집연합회,한국여성아동인권센터,이화여대,은평구,검찰,아동권리보장원,사회복지학과,서울경찰청,국공립어린이집,국회,제주도,제주경찰청","CCTV,어린이집,교사,이성,은평구,서울,국공립,어린이집,3세,아이들,상습적,음식,혐의,교사,입건,20일,제주도,어린이집,아동,학대,혐의,교사,검찰,송치,어린이집,설치,폐쇄회로,CC,TV,범행,전문가,사이,의무화,CCTV,설치,의무,어린이집,아동,학대,방지,대책,소식,근본적,해결,의견,카메라,상습,학대,아동,학대,혐의,발견,어린이집,CCTV,교사들,상습적,학대,장면,경찰,확인,CCTV,은평,국공립,어린이집,4세,2018년,A씨,교사,아이들,상습적,음식,모습,포착,2개월,영상,확보,경찰,혐의,추가,학대,판단,아동학대전담팀,서울경찰청,미만,아동,학대,전담,사건,이첩,경찰,확보,영상,제주도,어린이집,아동,학대,정황,차례,발견,제주경찰청,도중,식판,장면,어린이집,교사,CCTV,작동,원생,바닥,원아,만능,학부모,CCTV,아동학대,어린이집,학부모들,교사들,아동학대,사실,반응,아동학대,은평구,어린이집,19일,학부모,어린이집,아동,학대,제기,CCTV,촬영,아이들,학부모,7월,학대,소문,생각,충격,국회,어린이집,CCTV,설치,법안,개정,보호자,자녀,안전,확인,목적,원본,CCTV,영상,열람,20일,학부모,CCTV,열람,과도,비용,법안,통과,건수,아동,학대,신고,2015년,증가,추세,아동권리보장원,어린이집,건수,아동,학대,발생,3배,사회,가치,전문가들,CCTV,감시,교사,업무환경,발생,지적,한국여성아동인권,센터,대표,이명숙,변호사,아동,학대,사건,채찍질,CCTV,심리,압박감,격무,이성,설명,곽문혁,한국민간어린이집연합회,위원장,아동학대,교사들,처벌,보육교사,처우,개선,존중,아동학대,주장,원장,보육,최저임금,CCTV,감시,기분,정익,이화여대,사회,복지,학과,교수,사회,가치,비극,반복,보육,현장,정책,지원,촉구","어린이집,아동학대,cctv,학부모,교사들,학부모들,은평구,이화여대,전문가들,서울경찰청,아이들,은평,제주도,압박감","지난 17일 서울 은평구의 한 국공립 어린이집에서 만 2 3세 아이들을 상습적으로 때리고 음식을 억지로 먹인 혐의로 교사 2명이 입건됐다. 지난 20일에는 제주도의 한 어린이집에서도 아동 29명을 학대한 혐의로 교사 10명이 검찰에 송치됐다. 
 이들은 모두 어린이집에 설치된 폐쇄회로CCTV 앞에서 범행을 벌였다. 전문가들 사이에서는 ""CCTV 설치..",https://news.joins.com/article/olink/23659186,
